,result,eco,move_no,avg_rating
986,-1,120,42,1650
987,-1,244,122,1594
988,-1,220,22,1582
989,1,107,113,1586
990,1,253,59,1479
991,-1,200,38,1529
992,1,241,39,1360
993,-1,101,64,1397
994,1,13,117,1614
995,1,100,51,1373
996,-1,200,56,1579
997,1,102,83,1552
998,-1,330,32,1368
999,1,40,31,1587
1000,1,101,45,1847
1001,1,40,41,1620
1002,-1,123,46,1370
1003,1,107,57,1494
1004,1,132,119,1621
1005,1,120,43,1449
1006,1,242,53,1210
1007,1,255,47,1526
1008,1,120,45,1471
1009,1,250,41,1399
1010,-1,106,48,1351
1011,1,255,93,1575
1012,-1,0,40,1602
1013,-1,121,74,1580
1014,1,130,87,1580
1015,1,121,85,1387
1016,0,250,116,1643
1017,-1,0,88,1269
1018,0,202,135,1847
1019,1,10,69,1729
1020,-1,101,32,1371
1021,-1,222,34,1541
1022,-1,45,38,1362
1023,1,43,59,1540
1024,1,300,59,1490
1025,1,230,49,1600
1026,1,245,63,1717
1027,1,220,27,1581
1028,-1,103,42,1269
1029,-1,330,98,1540
1030,1,100,61,1602
1031,-1,0,42,1269
1032,1,246,89,1539
1033,-1,45,68,1713
1034,1,200,71,1486
1035,1,250,55,1587
1036,-1,220,38,1676
1037,1,110,43,1388
1038,0,241,118,1528
1039,-1,202,66,1595
1040,-1,100,128,1613
1041,-1,101,34,1388
1042,1,100,61,1599
1043,1,240,43,1459
1044,-1,265,68,1563
1045,-1,100,38,1355
1046,1,260,57,1425
1047,1,107,57,1419
1048,-1,52,82,1671
1049,1,300,75,1413
1050,-1,202,100,1439
1051,-1,110,94,1522
1052,1,244,47,1561
1053,1,320,55,1610
1054,-1,190,54,1636
1055,1,241,111,1329
1056,1,223,89,1553
1057,-1,242,92,1853
1058,1,101,73,1195
1059,-1,110,68,1520
1060,-1,121,80,1706
1061,-1,101,34,1349
1062,-1,264,70,1387
1063,-1,0,50,1208
1064,1,225,99,1722
1065,1,200,65,1443
1066,1,241,63,1346
1067,-1,100,96,1476
1068,1,241,77,1678
1069,-1,120,104,1400
1070,1,112,61,1606
1071,1,220,63,1583
1072,1,120,123,1500
1073,1,200,77,1651
1074,1,200,129,1592
1075,1,300,65,1459
1076,-1,100,62,1509
1077,1,320,103,1615
1078,-1,121,70,1651
1079,-1,300,98,1862
1080,-1,201,72,1591
1081,-1,0,60,1628
1082,1,221,57,1769
1083,1,110,39,1623
1084,-1,240,76,1504
1085,-1,320,122,1550
1086,-1,113,32,1721
1087,1,226,53,1426
1088,-1,101,40,1368
1089,-1,112,66,1599
1090,-1,242,138,1513
1091,-1,43,44,1476
1092,1,228,79,1504
1093,-1,220,90,1326
1094,1,222,85,1470
1095,1,304,85,1165
1096,-1,242,54,1514
1097,-1,241,84,1661
1098,-1,40,84,1470
1099,-1,241,44,1727
1100,1,241,65,1643
1101,-1,40,64,1728
1102,1,200,95,1482
1103,-1,202,116,1564
1104,1,100,39,1587
1105,1,40,83,1626
1106,-1,241,58,1533
1107,-1,222,46,1579
1108,-1,300,68,1469
1109,-1,130,130,1772
1110,1,330,81,1594
1111,1,101,75,1480
1112,-1,0,74,1271
1113,-1,200,88,1631
1114,-1,255,50,1454
1115,-1,300,30,1675
1116,-1,120,94,1595
1117,1,101,111,1875
1118,-1,40,54,1433
1119,1,0,75,1450
1120,1,300,65,1810
